,CommID,authorDisplayName,authorProfileImageUrl,authorChannelUrl,authorChannelId,videoId,textDisplay,textOriginal,canRate,viewerRating,likeCount,publishedAt,updatedAt,parentId
649,UgwtA_2ipcK4zSF-kKV4AaABAg,L Daher,https://yt3.ggpht.com/a/AGF-l7_N1EIVQh25bk5xwSt_KSDg3gVbHYczuSPkxw=s48-c-k-c0xffffffff-no-rj-mo,http://www.youtube.com/channel/UCKKHwAVLjo6SGYdp5KhfBqA,{'value': 'UCKKHwAVLjo6SGYdp5KhfBqA'},iI48g7YTZFA,"Wait! Dude complains about WALKING to go WORK OUT?! 
*Irony*","Wait! Dude complains about WALKING to go WORK OUT?! 
*Irony*",True,none,832,2019-08-21T20:59:35.000Z,2019-08-21T21:01:26.000Z,0
650,UgwtA_2ipcK4zSF-kKV4AaABAg.8yugOf1Ts--8yutmvnyZsQ,privacy is key,https://yt3.ggpht.com/a/AGF-l7_xLoyW3M6dx6vl_erIPjHTpZMMsmAcXLtQNQ=s48-c-k-c0xffffffff-no-rj-mo,http://www.youtube.com/channel/UCvrw5WHcA_Vy_IVm8yPv6cQ,{'value': 'UCvrw5WHcA_Vy_IVm8yPv6cQ'},iI48g7YTZFA,In the video the wife was litteraly on a treadmill,In the video the wife was litteraly on a treadmill,True,none,6,2019-08-21T22:56:38.000Z,2019-08-21T22:56:38.000Z,UgwtA_2ipcK4zSF-kKV4AaABAg
651,UgwtA_2ipcK4zSF-kKV4AaABAg.8yugOf1Ts--8yustekGQ9Y,Clemie Cat,https://yt3.ggpht.com/a/AGF-l7_ZSp0ix9UbTS1k_E2FYXfXS1WYlkQd1EmvTA=s48-c-k-c0xffffffff-no-rj-mo,http://www.youtube.com/channel/UCSVZ7t7Ux9QL2HYlN5gYVVA,{'value': 'UCSVZ7t7Ux9QL2HYlN5gYVVA'},iI48g7YTZFA,L Daher that's like complaining to walk to a track to run 3 miles.,L Daher that's like complaining to walk to a track to run 3 miles.,True,none,18,2019-08-21T22:48:49.000Z,2019-08-21T22:48:49.000Z,UgwtA_2ipcK4zSF-kKV4AaABAg
652,UgwtA_2ipcK4zSF-kKV4AaABAg.8yugOf1Ts--8yuqpTU5Rs_,Some sad kid Named max,https://yt3.ggpht.com/a/AGF-l7_8QeTeMeaKPB0d4rU9xQIEGN8ckXAgxKl5Mg=s48-c-k-c0xffffffff-no-rj-mo,http://www.youtube.com/channel/UCZ_WNDEdpXKXmH9u43eibBg,{'value': 'UCZ_WNDEdpXKXmH9u43eibBg'},iI48g7YTZFA,*_intellegence_*,*_intellegence_*,True,none,16,2019-08-21T22:30:46.000Z,2019-08-21T22:30:46.000Z,UgwtA_2ipcK4zSF-kKV4AaABAg
653,UgzfnhXKojDWtPrWdqd4AaABAg,ANNA Parody & Covers,https://yt3.ggpht.com/a/AGF-l7--iwKCg-lFOD9IUHx9K7duDXyMxbsR2oOSOQ=s48-c-k-c0xffffffff-no-rj-mo,http://www.youtube.com/channel/UCliRwnxUoovK8-pDGxIAAOg,{'value': 'UCliRwnxUoovK8-pDGxIAAOg'},iI48g7YTZFA,"For every Jenna marbles, there’s 3 rice gums and 4 ace families. 😂","For every Jenna marbles, there’s 3 rice gums and 4 ace families. 😂",True,none,6,2019-12-08T14:55:30.000Z,2019-12-08T14:55:30.000Z,0
654,UgzQ_WZgVrdo1LsfaG14AaABAg,KittyEars&Headbands,https://yt3.ggpht.com/a/AGF-l78Gwvj9UogftfCAKmdpigb_e3HH2zB2_XOt8w=s48-c-k-c0xffffffff-no-rj-mo,http://www.youtube.com/channel/UCL46698JRyX8kwNQSvabkxA,{'value': 'UCL46698JRyX8kwNQSvabkxA'},iI48g7YTZFA,i love how they smile through the difficult times.. lol,i love how they smile through the difficult times.. lol,True,none,0,2019-12-04T09:16:22.000Z,2019-12-04T09:16:22.000Z,0
655,UgwRnyZ16RjvdM-w5154AaABAg,chihuahua bently,https://yt3.ggpht.com/a/AGF-l7-pPGVyxsuK6Zw9gpZHIy6xcQ1VCbZn--X92w=s48-c-k-c0xffffffff-no-rj-mo,http://www.youtube.com/channel/UCy4_oRc7uoiRPhawJcyGEig,{'value': 'UCy4_oRc7uoiRPhawJcyGEig'},iI48g7YTZFA,Oh. My. God. You. Have.... *Looks round* A TOILET?!,Oh. My. God. You. Have.... *Looks round* A TOILET?!,True,none,0,2020-01-17T22:29:31.000Z,2020-01-17T22:29:31.000Z,0
656,UgwWc8xVIAvkhUYfSMB4AaABAg,dominique thenosyreader,https://yt3.ggpht.com/a/AGF-l7_Ej7TAClS_2WicH0pLb6i3UqzSPcDaTdnt_Q=s48-c-k-c0xffffffff-no-rj-mo,http://www.youtube.com/channel/UCvOt8gM6xTJ-DdHoGx5BuHQ,{'value': 'UCvOt8gM6xTJ-DdHoGx5BuHQ'},iI48g7YTZFA,I'm just wondering why people have watch them because after five minute they get on my nerves. And also they plug in their merch so much that I rather watch Jake Paul since they both do the exact same thing but at least he is entertaining,I'm just wondering why people have watch them because after five minute they get on my nerves. And also they plug in their merch so much that I rather watch Jake Paul since they both do the exact same thing but at least he is entertaining,True,none,1,2019-12-09T21:51:52.000Z,2019-12-09T21:51:52.000Z,0
657,UgwUOT-k8tEG5YKcctp4AaABAg,Savy,https://yt3.ggpht.com/a/AGF-l7-I2TGbGfrX28Pq5pb_HpGi-We75Dnflb4sCA=s48-c-k-c0xffffffff-no-rj-mo,http://www.youtube.com/channel/UCA5DMym_JVogqDCPXTaP6rA,{'value': 'UCA5DMym_JVogqDCPXTaP6rA'},iI48g7YTZFA,*Ughh I can’t imagine moving into my new 10 million dollar mansion without any landscaping done😫*,*Ughh I can’t imagine moving into my new 10 million dollar mansion without any landscaping done😫*,True,none,5421,2019-09-07T04:48:48.000Z,2019-09-07T04:48:48.000Z,0
658,UgwUOT-k8tEG5YKcctp4AaABAg.8zZioEQUx-D917zUxuhBc_,Savy,https://yt3.ggpht.com/a/AGF-l7-I2TGbGfrX28Pq5pb_HpGi-We75Dnflb4sCA=s48-c-k-c0xffffffff-no-rj-mo,http://www.youtube.com/channel/UCA5DMym_JVogqDCPXTaP6rA,{'value': 'UCA5DMym_JVogqDCPXTaP6rA'},iI48g7YTZFA,Tommyfish wowww I couldn’t EVeN iMagine that😔,Tommyfish wowww I couldn’t EVeN iMagine that😔,True,none,0,2019-11-09T23:50:01.000Z,2019-11-09T23:50:01.000Z,UgwUOT-k8tEG5YKcctp4AaABAg
