,CommID,authorDisplayName,authorProfileImageUrl,authorChannelUrl,authorChannelId,videoId,textDisplay,textOriginal,canRate,viewerRating,likeCount,publishedAt,updatedAt,parentId
192,UgywJ0dkbEz3konaCDd4AaABAg,Emily Ho,https://yt3.ggpht.com/a/AGF-l7_QpJ39PrgzrRNBAhYG7A4uP47tQQMlCqpcfQ=s48-c-k-c0xffffffff-no-rj-mo,http://www.youtube.com/channel/UCGJTR6srCQJeBhepAurlCpA,{'value': 'UCGJTR6srCQJeBhepAurlCpA'},ZcCp6ghTP78,Can't get enough of these Jennglebells vlogs,Can't get enough of these Jennglebells vlogs,True,none,1,2019-12-22T17:05:46.000Z,2019-12-22T17:06:00.000Z,0
193,Ugz_5cp93Ge2oGfYZV54AaABAg,a c,https://yt3.ggpht.com/a/AGF-l7_Q8R5L-9eKwMVOz_xo3pQq7mqHoW9rjXnBdg=s48-c-k-c0xffffffff-no-rj-mo,http://www.youtube.com/channel/UCyvzN3rxfRPdQw0i2vqMBLw,{'value': 'UCyvzN3rxfRPdQw0i2vqMBLw'},ZcCp6ghTP78,bonjour🥐,bonjour🥐,True,none,0,2019-12-23T16:07:20.000Z,2019-12-23T16:07:20.000Z,0
194,UgzagZ9T47n9iu9o9dx4AaABAg,Alice,https://yt3.ggpht.com/a/AGF-l78Wh6Meg-nPk0rWjW0zM12y8bzmUCm2v3URQw=s48-c-k-c0xffffffff-no-rj-mo,http://www.youtube.com/channel/UCP8sasT5aSd6NNYKF8TDjgg,{'value': 'UCP8sasT5aSd6NNYKF8TDjgg'},ZcCp6ghTP78,"You should try Zicam gummies! It helps prevention of cold symptoms :) hope you feel better❤️

Also, i totally relate, going on a fam trip soon and i always pack cute outfits and end up wearing one comfy sweater the whole time 😅 
happy holidays!❤️❤️","You should try Zicam gummies! It helps prevention of cold symptoms :) hope you feel better❤️

Also, i totally relate, going on a fam trip soon and i always pack cute outfits and end up wearing one comfy sweater the whole time 😅 
happy holidays!❤️❤️",True,none,0,2019-12-22T17:10:09.000Z,2019-12-22T17:10:09.000Z,0
195,UgzagZ9T47n9iu9o9dx4AaABAg.92qzuoSb-Mg92r-ci2ajxn,Jenn Im,https://yt3.ggpht.com/a/AGF-l78dBoc7rLWB6tLgSzuyj3z6AH_oDltuFIhsBQ=s48-c-k-c0xffffffff-no-rj-mo,http://www.youtube.com/channel/UCgWfS_47YPVbKx5EK4FLm4A,{'value': 'UCgWfS_47YPVbKx5EK4FLm4A'},ZcCp6ghTP78,Oooo I gotta try it!,Oooo I gotta try it!,True,none,1,2019-12-22T17:16:25.000Z,2019-12-22T17:16:25.000Z,UgzagZ9T47n9iu9o9dx4AaABAg
196,UgyqZkgI2U6ODNrOwxp4AaABAg,RoseGolden,https://yt3.ggpht.com/a/AGF-l7_27KEVM5akB-UYGy_7oipuE7QPqxRW4CvzMw=s48-c-k-c0xffffffff-no-rj-mo,http://www.youtube.com/channel/UCE1llK2VLXZqRveijYZ-QYg,{'value': 'UCE1llK2VLXZqRveijYZ-QYg'},ZcCp6ghTP78,4:52 VIRGOS EVERYWHERE ARE SHAKING,4:52 VIRGOS EVERYWHERE ARE SHAKING,True,none,0,2019-12-23T16:03:41.000Z,2019-12-23T16:03:41.000Z,0
197,UgyjIBtAFcsvfmel2ht4AaABAg,Hans Hansen,https://yt3.ggpht.com/a/AGF-l78HZ_o2-hF3lwz1b3GCQTvHL9K5GiVV9Jc2dA=s48-c-k-c0xffffffff-no-rj-mo,http://www.youtube.com/channel/UCGBY6ip7_Y500w9YPbhjwYw,{'value': 'UCGBY6ip7_Y500w9YPbhjwYw'},ZcCp6ghTP78,"Will it fit 🤔
Im gonna make it fit 😡","Will it fit 🤔
Im gonna make it fit 😡",True,none,4,2019-12-22T17:19:16.000Z,2019-12-22T17:19:16.000Z,0
198,UgyjIBtAFcsvfmel2ht4AaABAg.92r-xeHLAwu92r1Ln8XlmD,Hans Hansen,https://yt3.ggpht.com/a/AGF-l78HZ_o2-hF3lwz1b3GCQTvHL9K5GiVV9Jc2dA=s48-c-k-c0xffffffff-no-rj-mo,http://www.youtube.com/channel/UCGBY6ip7_Y500w9YPbhjwYw,{'value': 'UCGBY6ip7_Y500w9YPbhjwYw'},ZcCp6ghTP78,Jenn Im 😂❤️,Jenn Im 😂❤️,True,none,0,2019-12-22T17:31:26.000Z,2019-12-22T17:31:26.000Z,UgyjIBtAFcsvfmel2ht4AaABAg
199,UgyjIBtAFcsvfmel2ht4AaABAg.92r-xeHLAwu92r01yjcoH5,Jenn Im,https://yt3.ggpht.com/a/AGF-l78dBoc7rLWB6tLgSzuyj3z6AH_oDltuFIhsBQ=s48-c-k-c0xffffffff-no-rj-mo,http://www.youtube.com/channel/UCgWfS_47YPVbKx5EK4FLm4A,{'value': 'UCgWfS_47YPVbKx5EK4FLm4A'},ZcCp6ghTP78,Hahahaha,Hahahaha,True,none,0,2019-12-22T17:20:00.000Z,2019-12-22T17:20:00.000Z,UgyjIBtAFcsvfmel2ht4AaABAg
200,Ugxl1AopNSO9SglkXfV4AaABAg,Moon pun,https://yt3.ggpht.com/a/AGF-l79kPq_UfbS_jf6vRkhPEwZBBWsGHM4htoRF4Q=s48-c-k-c0xffffffff-no-rj-mo,http://www.youtube.com/channel/UCa6HzEDUCqD1R_ilXTTPv6A,{'value': 'UCa6HzEDUCqD1R_ilXTTPv6A'},ZcCp6ghTP78,cool,cool,True,none,0,2019-12-22T17:25:16.000Z,2019-12-22T17:25:16.000Z,0
201,Ugw35aEN7SjPdv0sLWp4AaABAg,Amy Atom,https://yt3.ggpht.com/a/AGF-l7_7lQHPCC7tJaW55zf2VXWsK26b4Djp1Eqryg=s48-c-k-c0xffffffff-no-rj-mo,http://www.youtube.com/channel/UC40ZJ98u3o3wbHUuIKEA-lQ,{'value': 'UC40ZJ98u3o3wbHUuIKEA-lQ'},ZcCp6ghTP78,"Hi Jenn, have a look at Andrew Yang here on YouTube, he is an Asian American running for president 2020!","Hi Jenn, have a look at Andrew Yang here on YouTube, he is an Asian American running for president 2020!",True,none,4,2019-12-22T18:17:18.000Z,2019-12-22T18:17:18.000Z,0
202,UgwHo3MoOkARsQbaaAp4AaABAg,Ca T,https://yt3.ggpht.com/a/AGF-l7_QEIV-WlHEOJ1JCZNZVm1gGnC6gKBr2iANjA=s48-c-k-c0xffffffff-no-rj-mo,http://www.youtube.com/channel/UCODL0HACWN1Mr8EYQWWUQUA,{'value': 'UCODL0HACWN1Mr8EYQWWUQUA'},ZcCp6ghTP78,going at the hospital for a cold and being back home after ONLY 3 hours?!?!? damn. as a canadian i absolutely cannot relate 😂 i'm pretty sure you couldn't see a doctor under 12 hours for that if you went to the hospital lol,going at the hospital for a cold and being back home after ONLY 3 hours?!?!? damn. as a canadian i absolutely cannot relate 😂 i'm pretty sure you couldn't see a doctor under 12 hours for that if you went to the hospital lol,True,none,0,2019-12-22T18:50:31.000Z,2019-12-22T18:52:29.000Z,0
